time_ms,diameter_mm
0.0,2.537
1.0,2.4939999999999998
2.0,2.4939999999999998
3.0,2.4509999999999996
4.0,2.408
5.0,2.3649999999999998
6.0,2.3649999999999998
7.0,2.3219999999999996
8.0,2.279
9.0,2.279
10.0,2.2359999999999998
11.0,2.1929999999999996
12.0,2.1929999999999996
13.0,2.1069999999999998
14.0,2.1069999999999998
15.0,2.064
16.0,2.064
17.0,2.021
18.0,2.021
19.0,1.9349999999999998
20.0,1.9349999999999998
21.0,1.892
22.0,1.8489999999999998
23.0,1.8059999999999998
24.0,1.763
25.0,1.7199999999999998
26.0,1.7199999999999998
27.0,1.634
28.0,1.591
29.0,1.505
30.0,1.4189999999999998
31.0,1.333
32.0,1.333
33.0,1.2469999999999999
34.0,1.1179999999999999
35.0,0.9889999999999999
36.0,0.817
37.0,0.516
38.0,0.086
39.0,0.0
