experiment_id,start_ind,end_ind,N,rsq,slope,intercept,"avg relaxation time, ms",sd relaxation time,"avg_tbreak, ms",sd_tbreak,"avg_d_breaks, mm",sd_d_breaks,"avg_d_prebreaks, mm",sd_d_prebreaks,"avg_d_inits, mm",sd_d_inits
50kda_mg,12,24,3,0.990080557,0.021743421,-1.484553411,15.36065048,0.673590638,27.33333333,2.867441756,0,0,0.200666667,0.040540789,2.393666667,0.073085946
50kda_naoh,11,21,3,0.992381291,0.021926934,-1.48172709,15.30626905,1.273009472,28.33333333,5.436502143,0,0,0.344,0.070218706,2.422333333,0.141892761
50kda_gel,10,22,3,0.989338177,0.022998638,-1.512679766,14.55611773,0.946462121,31.33333333,6.798692685,0,0,0.229333333,0.088356601,2.508333333,0.165920329
50kda_ha,8,17,4,0.987689907,0.032965701,-1.643693195,10.13863097,0.523101034,28.25,10.75581238,0,0,0.2365,0.098525377,2.37575,0.211477392
100kda_mg,11,25,4,0.985880605,0.019485051,-1.502228956,17.49500175,2.600855329,42,8.5732141,0,0,0.4085,0.137667171,2.6445,0.165144634
100kda_naoh,9,25,3,0.990599484,0.023039329,-1.5227828,14.47423813,0.299134975,28.33333333,1.699673171,0,0,0.315333333,0.11286078,2.422333333,0.020270394
100kda_gel,18,40,3,0.993021397,0.012641603,-1.413897877,26.64084885,2.741581047,49.66666667,8.730533902,0,0,0.243666667,0.107260845,2.680333333,0.020270394
100kda_ha,11,28,4,0.991519602,0.019367461,-1.512580515,17.35517927,1.63575067,34.5,7.262919523,0,0,0.258,0.160891268,2.4295,0.0645
250kda_mg,23,56,3,0.994904309,0.009060478,-1.4216095,37.04922176,3.075984262,71,10.67707825,0,0,0.329666667,0.020270394,2.737666667,0.053630423
250kda_naoh,11,25,3,0.993269836,0.022122718,-1.531913208,15.1175447,0.882781584,29,3.741657387,0,0,0.258,0.035109353,2.379333333,0.088356601
250kda_gel,342,1286,4,0.971679251,0.000356853,-1.322542081,1945.001068,1813.892974,1734.25,312.5870879,0.59125,1.02407504,0.7095,0.981257739,3.10675,0.082572317
250kda_ha,16,43,4,0.981002349,0.009624609,-1.532597706,38.4949297,10.91167141,226.5,227.9226843,0,0,0.172,0.096150923,2.6875,0.165144634
500kda_mg,145,590,3,0.985744899,0.000609516,-1.27536493,571.8860269,120.5597443,740.3333333,144.6036729,0,0,0.086,1.39E-17,2.809333333,0.040540789
500kda_naoh,20,59,3,0.994021116,0.009453733,-1.508387418,36.54594609,7.266316765,68,10.67707825,0,0,0.086,0.035109353,2.479666667,0.020270394
500kda_gel,1678,7511,3,0.966264749,7.97E-05,-1.657442955,5632.926855,3372.549226,8533,0,1.247,0.547300649,1.247,0.547300649,3.038666667,0.173190326
500kda_ha,262,818,3,0.979055224,0.000450684,-1.289175772,851.86515,273.5014373,1472,496.1095309,0,0,0.043,6.94E-18,2.995666667,0.053630423
